               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10903,            0.019326,             0.06565,           7.637e-05,                 0.1,          7.4543e-05,          1.5221e-05,            0.086842,            0.012643,            0.053778,              0.0946,              0.0006,              0.0006
                   1,             0.10428,            0.021922,            0.064857,          0.00013702,                0.14,          0.00036431,          0.00010688,            0.082833,            0.013296,            0.053635,            0.088296,           0.0012957,           0.0012957
                   2,            0.097941,            0.022067,             0.06498,          9.0041e-05,                0.12,          0.00012865,          2.8396e-05,            0.080076,            0.013494,            0.053543,            0.081987,           0.0019868,           0.0019868
                   3,            0.094541,            0.022947,            0.065252,          0.00046356,             0.16222,           0.0012736,          0.00041254,            0.078138,            0.013749,            0.053484,            0.075673,           0.0026733,           0.0026733
                   4,            0.090504,            0.024847,            0.064834,          0.00042278,             0.22889,          0.00092159,          0.00025974,            0.075402,            0.014103,            0.053384,            0.069355,           0.0033551,           0.0033551
                   5,            0.085832,            0.026337,            0.064775,          0.00049163,             0.28889,          0.00055843,           0.0002059,            0.073377,            0.014357,            0.053316,            0.063032,           0.0040324,           0.0040324
                   6,            0.079842,            0.026054,            0.064407,          0.00042909,             0.25778,          0.00088415,          0.00023811,            0.070868,            0.014819,            0.053207,            0.056705,            0.004705,            0.004705
                   7,            0.076454,            0.025585,            0.063952,          0.00038894,             0.25778,            0.001093,          0.00030026,            0.069296,             0.01508,            0.053157,            0.050373,           0.0053729,           0.0053729
                   8,            0.073949,            0.026165,            0.064175,          0.00041455,                0.28,           0.0036443,          0.00099836,            0.067651,            0.015341,            0.053082,            0.044036,           0.0060363,           0.0060363
                   9,             0.07198,            0.025089,            0.062997,           0.0010073,             0.29778,           0.0023559,          0.00053691,             0.06735,            0.015364,            0.053023,            0.037695,           0.0066951,           0.0066951
                  10,            0.072234,            0.027813,             0.06298,           0.0010747,             0.36889,           0.0030733,          0.00056758,            0.064096,             0.01584,            0.052838,            0.031349,           0.0073492,           0.0073492
                  11,            0.068569,            0.025853,            0.062941,           0.0026886,             0.61333,           0.0062592,           0.0018562,            0.059061,            0.016372,            0.052259,            0.024999,           0.0079987,           0.0079987
                  12,            0.066909,             0.02761,            0.061829,           0.0030745,             0.70667,           0.0080619,           0.0022482,            0.057279,            0.016673,            0.052066,            0.018644,           0.0086436,           0.0086436
                  13,            0.068266,            0.027466,            0.061857,           0.0020872,             0.57556,            0.011374,           0.0043306,             0.05582,            0.016879,            0.051437,            0.012284,           0.0092839,           0.0092839
                  14,            0.065988,            0.027069,            0.061464,           0.0013792,             0.39556,            0.018463,           0.0096286,            0.066784,            0.014699,             0.05116,            0.009538,            0.009538,            0.009538
                  15,            0.065293,            0.027373,            0.060737,           0.0022821,             0.52889,           0.0069503,           0.0019302,            0.063679,            0.016364,            0.050434,            0.009538,            0.009538,            0.009538
                  16,            0.061435,            0.027936,            0.060254,           0.0020515,                0.56,           0.0083178,           0.0018325,            0.051915,            0.018527,            0.049187,            0.009505,            0.009505,            0.009505
                  17,            0.060888,            0.026135,            0.059933,           0.0019054,                0.54,           0.0052871,           0.0014324,            0.053443,            0.019551,            0.048608,            0.009472,            0.009472,            0.009472
                  18,            0.060508,            0.027045,            0.058714,           0.0020215,             0.38889,            0.011725,             0.00214,            0.059908,            0.018791,            0.048751,            0.009439,            0.009439,            0.009439
                  19,            0.061493,             0.02673,            0.059098,             0.90075,                 0.1,            0.044178,           0.0091217,            0.058071,            0.018584,            0.049213,            0.009406,            0.009406,            0.009406
                  20,            0.060599,            0.024588,            0.059789,             0.90162,            0.077778,            0.025867,            0.005024,            0.057552,            0.017898,            0.049657,            0.009373,            0.009373,            0.009373
                  21,             0.06092,            0.026743,            0.058816,           0.0025093,                 0.7,            0.036283,            0.011755,            0.046577,            0.018236,            0.048117,             0.00934,             0.00934,             0.00934
                  22,            0.060259,            0.021974,            0.058648,             0.10216,             0.33778,            0.009394,           0.0029211,            0.065651,             0.01599,            0.053694,            0.009307,            0.009307,            0.009307
                  23,            0.057701,            0.024091,            0.058285,           0.0064938,             0.70889,            0.032888,           0.0060047,            0.060826,            0.015155,            0.050409,            0.009274,            0.009274,            0.009274
                  24,             0.06087,            0.024045,             0.05817,             0.90475,            0.055556,            0.052845,            0.014499,            0.043499,            0.016851,            0.046821,            0.009241,            0.009241,            0.009241
                  25,            0.057789,            0.027215,            0.057765,             0.83114,             0.10667,            0.042789,            0.013503,            0.046518,            0.015177,            0.046351,            0.009208,            0.009208,            0.009208
                  26,            0.056889,            0.027098,            0.057178,             0.82629,            0.086667,            0.095346,            0.029494,            0.041399,             0.01599,            0.046401,            0.009175,            0.009175,            0.009175
                  27,            0.053399,            0.025174,            0.058156,             0.82435,             0.11594,             0.12606,             0.03764,             0.04319,             0.01502,            0.046045,            0.009142,            0.009142,            0.009142
                  28,            0.056175,            0.025645,             0.05746,             0.73092,            0.087546,            0.042835,            0.010197,            0.052028,            0.014842,            0.047664,            0.009109,            0.009109,            0.009109
                  29,            0.056979,            0.023048,             0.05768,             0.72496,             0.18444,             0.16235,            0.077611,            0.042731,            0.015057,            0.047123,            0.009076,            0.009076,            0.009076
                  30,            0.053354,            0.024362,            0.055834,             0.93552,            0.055556,            0.081581,            0.020625,            0.048389,            0.014825,            0.048269,            0.009043,            0.009043,            0.009043
                  31,            0.052917,            0.023984,            0.056766,             0.75245,                0.14,            0.075859,            0.020093,            0.053014,            0.014212,            0.046259,             0.00901,             0.00901,             0.00901
                  32,            0.057692,            0.022975,            0.055819,             0.72508,             0.14222,            0.079705,            0.015501,            0.045955,            0.015776,            0.044983,            0.008977,            0.008977,            0.008977
                  33,            0.056481,            0.024467,            0.055466,             0.96012,            0.055556,             0.10549,             0.02079,             0.05155,            0.013176,            0.046288,            0.008944,            0.008944,            0.008944
                  34,            0.054079,            0.022683,            0.054968,             0.99441,            0.055556,             0.14492,            0.042428,            0.044959,            0.013912,             0.04607,            0.008911,            0.008911,            0.008911
                  35,             0.05044,              0.0242,            0.055334,             0.52911,             0.19556,              0.1049,            0.044474,            0.041251,            0.013987,             0.04484,            0.008878,            0.008878,            0.008878
                  36,            0.052981,            0.021958,            0.053466,             0.96118,            0.055556,             0.15978,            0.052835,            0.044468,            0.013433,            0.045713,            0.008845,            0.008845,            0.008845
                  37,            0.054921,            0.022501,            0.053842,             0.69306,             0.24667,              0.1788,            0.079931,            0.041051,            0.013479,            0.044664,            0.008812,            0.008812,            0.008812
                  38,            0.050534,            0.022901,            0.053317,             0.73743,             0.10667,             0.14362,             0.03755,            0.048384,             0.01441,            0.048227,            0.008779,            0.008779,            0.008779
                  39,            0.049661,            0.021363,            0.054795,             0.63527,             0.19333,             0.10277,            0.026449,            0.047484,            0.012625,            0.045671,            0.008746,            0.008746,            0.008746
                  40,            0.052175,            0.021698,            0.055184,             0.74459,             0.17333,             0.22983,            0.062971,            0.037371,            0.012702,            0.044454,            0.008713,            0.008713,            0.008713
                  41,            0.052999,            0.021048,            0.054557,             0.90298,             0.09258,             0.16071,            0.063718,            0.052593,            0.011054,            0.045428,             0.00868,             0.00868,             0.00868
                  42,            0.051812,            0.021593,            0.054332,              0.3598,             0.31556,             0.22297,            0.080942,             0.04574,            0.014729,            0.045075,            0.008647,            0.008647,            0.008647
                  43,             0.05058,            0.020907,            0.053304,             0.52374,             0.29033,             0.28314,             0.11981,            0.038518,             0.01369,            0.042474,            0.008614,            0.008614,            0.008614
                  44,            0.048147,            0.022191,            0.053273,             0.52468,             0.25556,             0.12574,            0.054347,            0.048239,            0.013405,            0.043972,            0.008581,            0.008581,            0.008581
                  45,             0.05243,            0.019668,            0.053634,             0.38267,             0.25363,             0.15091,            0.053037,            0.042634,            0.012644,             0.04077,            0.008548,            0.008548,            0.008548
                  46,            0.049186,            0.020477,            0.052761,             0.47509,             0.23111,             0.24701,            0.089744,            0.037206,            0.011988,            0.041429,            0.008515,            0.008515,            0.008515
                  47,            0.047882,            0.021424,              0.0526,              0.4384,             0.39354,             0.33712,             0.14659,            0.035629,            0.011595,            0.041714,            0.008482,            0.008482,            0.008482
                  48,            0.047886,            0.018465,            0.052012,             0.52565,             0.34667,             0.29181,            0.097683,            0.044775,            0.011305,             0.04458,            0.008449,            0.008449,            0.008449
                  49,            0.051402,            0.020202,            0.051664,             0.52205,             0.30301,             0.32354,             0.13849,            0.038814,            0.011192,            0.042704,            0.008416,            0.008416,            0.008416
                  50,            0.046804,            0.019916,            0.053148,             0.46314,             0.34612,             0.28771,              0.1444,            0.038909,            0.010927,             0.04179,            0.008383,            0.008383,            0.008383
                  51,            0.047879,             0.01952,            0.051843,             0.66222,             0.25333,             0.32901,             0.13955,            0.037473,            0.011136,            0.040401,             0.00835,             0.00835,             0.00835
                  52,            0.047522,            0.020461,            0.050787,             0.45324,             0.37144,             0.31168,             0.14441,            0.039039,            0.010359,            0.040539,            0.008317,            0.008317,            0.008317
                  53,            0.048833,            0.017723,            0.051081,             0.50238,             0.37556,             0.38543,             0.14029,            0.040663,            0.010587,            0.041697,            0.008284,            0.008284,            0.008284
                  54,             0.04919,            0.019038,            0.051921,             0.33421,             0.33194,             0.29067,             0.12351,            0.039975,            0.010487,            0.039843,            0.008251,            0.008251,            0.008251
                  55,            0.046158,            0.017817,            0.050125,             0.40483,             0.42667,             0.43664,             0.18451,            0.038111,           0.0099854,             0.04064,            0.008218,            0.008218,            0.008218
                  56,            0.051025,            0.018153,            0.049449,             0.59384,             0.34241,             0.42068,             0.18552,            0.036954,            0.011777,            0.039125,            0.008185,            0.008185,            0.008185
                  57,            0.047834,            0.018541,            0.050189,              0.3612,              0.4435,             0.38712,             0.15215,            0.036404,            0.010633,            0.042083,            0.008152,            0.008152,            0.008152
                  58,            0.045958,            0.018718,            0.049636,             0.43512,             0.41638,             0.31228,             0.11397,            0.037874,            0.011506,            0.041139,            0.008119,            0.008119,            0.008119
                  59,            0.045974,            0.018199,            0.049232,             0.28486,             0.38958,             0.32051,             0.13387,            0.035811,            0.014811,            0.041597,            0.008086,            0.008086,            0.008086
                  60,            0.045782,            0.018062,            0.047297,             0.34821,             0.41475,             0.37619,             0.13382,            0.041651,            0.010504,            0.038632,            0.008053,            0.008053,            0.008053
                  61,            0.044974,            0.021256,            0.047717,             0.41111,             0.33535,             0.25153,            0.099482,            0.036639,            0.014834,             0.04108,             0.00802,             0.00802,             0.00802
                  62,            0.043726,            0.018776,            0.048047,             0.64954,             0.20552,             0.15213,            0.056125,            0.043296,            0.014252,              0.0432,            0.007987,            0.007987,            0.007987
                  63,            0.042532,            0.017189,            0.049365,             0.60548,             0.41778,             0.49708,             0.20878,            0.032416,            0.010473,            0.034832,            0.007954,            0.007954,            0.007954
                  64,            0.044117,            0.017106,            0.046325,              0.5716,             0.42162,             0.47844,             0.24431,            0.036465,           0.0098313,            0.035518,            0.007921,            0.007921,            0.007921
                  65,            0.047394,            0.017706,            0.048421,             0.48204,             0.34309,             0.46436,              0.1736,            0.035588,            0.010186,            0.034646,            0.007888,            0.007888,            0.007888
                  66,            0.043778,            0.017608,            0.047967,             0.59771,             0.47387,             0.50874,              0.2403,            0.032426,            0.010239,            0.034581,            0.007855,            0.007855,            0.007855
                  67,            0.044872,            0.017611,            0.046462,             0.52767,             0.48099,             0.50928,             0.26721,            0.031699,           0.0099994,            0.033871,            0.007822,            0.007822,            0.007822
                  68,            0.042991,            0.017226,            0.045541,             0.39735,             0.37556,             0.38235,             0.11222,            0.038697,            0.010414,            0.034144,            0.007789,            0.007789,            0.007789
                  69,            0.044849,              0.0169,            0.047309,             0.55577,             0.38511,             0.45747,              0.2331,            0.033323,            0.010221,            0.033981,            0.007756,            0.007756,            0.007756
                  70,            0.046011,            0.016366,            0.046971,             0.31687,             0.47812,             0.41101,             0.16977,            0.039969,           0.0096633,            0.034138,            0.007723,            0.007723,            0.007723
                  71,            0.043878,            0.017002,            0.045097,             0.56959,             0.40592,             0.52479,             0.27342,            0.031546,           0.0093011,             0.03165,             0.00769,             0.00769,             0.00769
                  72,            0.043576,            0.016562,            0.043324,             0.70707,             0.41618,             0.54808,             0.22812,             0.03384,           0.0089358,            0.032671,            0.007657,            0.007657,            0.007657
                  73,            0.045194,            0.016321,            0.042927,             0.61772,             0.39082,             0.56212,             0.26199,            0.036132,           0.0091801,            0.031627,            0.007624,            0.007624,            0.007624
                  74,            0.042778,            0.016987,            0.043075,             0.58781,             0.35778,             0.43766,             0.18389,            0.036656,           0.0095877,            0.033735,            0.007591,            0.007591,            0.007591
                  75,             0.04275,            0.018247,            0.043125,             0.24771,             0.44889,             0.38159,             0.15527,            0.035941,            0.010222,            0.032859,            0.007558,            0.007558,            0.007558
                  76,            0.042012,            0.016695,            0.042756,             0.64395,             0.34648,             0.40617,             0.18205,            0.038722,            0.010037,            0.032712,            0.007525,            0.007525,            0.007525
                  77,            0.045049,             0.01604,            0.041753,             0.70363,             0.22531,             0.33468,             0.13298,            0.036522,            0.012618,            0.036301,            0.007492,            0.007492,            0.007492
                  78,            0.041197,            0.016432,            0.041066,                0.28,                0.46,             0.43031,             0.17608,            0.036231,           0.0097068,            0.033569,            0.007459,            0.007459,            0.007459
                  79,            0.041438,            0.015378,            0.041165,             0.46711,             0.54559,             0.59474,             0.27365,            0.033092,           0.0094013,            0.030658,            0.007426,            0.007426,            0.007426
                  80,            0.041959,            0.017288,            0.040422,             0.47432,             0.37991,              0.3139,             0.10991,            0.037821,            0.010636,            0.036473,            0.007393,            0.007393,            0.007393
                  81,            0.045073,            0.017084,            0.038987,             0.48689,             0.55778,             0.60483,             0.32322,            0.031011,           0.0094702,            0.029226,             0.00736,             0.00736,             0.00736
                  82,            0.040537,            0.015983,            0.041529,             0.59529,             0.55322,             0.60299,             0.28334,            0.032366,           0.0096672,             0.03041,            0.007327,            0.007327,            0.007327
                  83,            0.043138,            0.015277,            0.039179,             0.71443,             0.39111,             0.59171,             0.29846,            0.030881,           0.0094776,            0.031574,            0.007294,            0.007294,            0.007294
                  84,            0.041039,            0.015247,            0.035855,             0.69877,             0.47665,             0.60296,             0.31033,            0.031667,           0.0092084,             0.02964,            0.007261,            0.007261,            0.007261
                  85,            0.041606,            0.015665,            0.037572,             0.77519,             0.51344,             0.65852,             0.32276,            0.031321,           0.0087691,            0.028349,            0.007228,            0.007228,            0.007228
                  86,             0.04159,            0.015289,             0.03526,             0.84434,              0.4042,             0.60296,             0.25494,             0.03339,           0.0089041,            0.027112,            0.007195,            0.007195,            0.007195
                  87,            0.040655,            0.016097,            0.035824,             0.84389,              0.4331,             0.63963,             0.28872,            0.033727,           0.0089273,            0.029082,            0.007162,            0.007162,            0.007162
                  88,            0.041704,            0.016019,            0.038889,             0.69913,             0.45775,              0.5869,             0.29712,            0.032099,           0.0089702,            0.027357,            0.007129,            0.007129,            0.007129
                  89,            0.041132,            0.015041,            0.036274,             0.83897,             0.44389,             0.63076,             0.30847,            0.032657,           0.0091915,             0.02632,            0.007096,            0.007096,            0.007096
                  90,            0.040434,            0.015566,            0.037545,             0.80069,             0.44945,              0.6115,             0.34101,            0.032322,           0.0090436,            0.026218,            0.007063,            0.007063,            0.007063
                  91,            0.042676,            0.015358,            0.033929,             0.55488,             0.49891,             0.55764,             0.25113,            0.031664,             0.00906,            0.027919,             0.00703,             0.00703,             0.00703
                  92,            0.043496,            0.016016,            0.036187,             0.53305,              0.5133,             0.56696,             0.24941,            0.032414,            0.009121,            0.029908,            0.006997,            0.006997,            0.006997
                  93,            0.042195,            0.017027,            0.033565,             0.48316,                0.46,             0.43147,             0.17804,            0.035019,            0.010987,            0.030904,            0.006964,            0.006964,            0.006964
                  94,            0.041326,            0.015841,            0.033921,             0.68266,             0.29442,             0.32114,             0.14324,            0.039003,            0.010254,            0.031951,            0.006931,            0.006931,            0.006931
                  95,            0.040132,            0.016807,            0.034084,             0.58194,             0.60952,             0.63289,             0.25821,            0.034258,           0.0089585,            0.024864,            0.006898,            0.006898,            0.006898
                  96,            0.043575,            0.014944,            0.033754,             0.61048,             0.58261,             0.67625,             0.32434,            0.033045,           0.0083057,            0.025313,            0.006865,            0.006865,            0.006865
                  97,            0.041383,            0.014239,            0.034163,             0.42668,             0.61005,             0.57444,             0.22895,            0.035492,           0.0082781,            0.024806,            0.006832,            0.006832,            0.006832
                  98,            0.040603,            0.013761,            0.032911,             0.59982,             0.76411,             0.72777,             0.35666,            0.031174,            0.008183,            0.024959,            0.006799,            0.006799,            0.006799
                  99,             0.03843,            0.014698,            0.033428,             0.67551,             0.48667,             0.55934,             0.24745,            0.035298,           0.0081027,            0.025457,            0.006766,            0.006766,            0.006766
                 100,            0.042084,            0.015942,            0.032573,             0.50847,             0.62668,              0.6964,             0.33847,            0.032093,           0.0083322,            0.026228,            0.006733,            0.006733,            0.006733
                 101,             0.04086,            0.015849,            0.032564,             0.72429,             0.55968,             0.61532,             0.24719,            0.035485,           0.0083621,             0.02512,              0.0067,              0.0067,              0.0067
                 102,            0.039451,            0.015218,            0.034922,             0.52966,             0.65168,              0.6975,             0.31952,            0.031758,           0.0089213,            0.025875,            0.006667,            0.006667,            0.006667
                 103,            0.040469,            0.014434,            0.030595,             0.53002,                0.58,             0.66636,             0.31434,            0.033219,           0.0086306,            0.025499,            0.006634,            0.006634,            0.006634
                 104,            0.041243,            0.014931,            0.030843,             0.48125,                0.66,             0.66545,             0.34691,            0.032941,           0.0084217,            0.024222,            0.006601,            0.006601,            0.006601
                 105,            0.039327,            0.015568,            0.031014,             0.47921,             0.61778,             0.58858,             0.31389,            0.031524,           0.0085134,            0.025161,            0.006568,            0.006568,            0.006568
                 106,            0.038301,            0.015362,            0.030285,             0.52013,                0.78,             0.70052,             0.36082,            0.031297,           0.0082942,               0.023,            0.006535,            0.006535,            0.006535
                 107,            0.037586,            0.014058,            0.029558,             0.49019,             0.68785,             0.63586,               0.306,            0.032127,           0.0081359,            0.023834,            0.006502,            0.006502,            0.006502
                 108,            0.039618,            0.014898,            0.028738,             0.49139,             0.70785,             0.66479,             0.34184,            0.031863,           0.0080508,            0.022092,            0.006469,            0.006469,            0.006469
                 109,             0.03856,            0.015023,            0.032013,             0.61862,             0.61518,             0.68113,              0.3602,            0.032095,           0.0081353,            0.024541,            0.006436,            0.006436,            0.006436
                 110,            0.039001,            0.015269,            0.030136,             0.72448,             0.63024,              0.7527,             0.38282,            0.031483,           0.0079299,            0.021135,            0.006403,            0.006403,            0.006403
                 111,            0.037518,             0.01399,             0.03001,             0.70702,             0.76722,             0.80973,             0.41496,            0.029424,           0.0078598,            0.019708,             0.00637,             0.00637,             0.00637
                 112,              0.0369,            0.014517,            0.026439,             0.63515,             0.73287,             0.78059,             0.41489,            0.030113,           0.0079722,            0.019888,            0.006337,            0.006337,            0.006337
                 113,            0.038697,            0.013133,            0.028713,             0.70507,             0.77669,             0.85677,             0.44434,            0.030867,            0.007786,            0.019724,            0.006304,            0.006304,            0.006304
                 114,            0.037984,            0.014844,             0.02784,             0.65797,             0.78754,             0.78723,              0.4406,            0.028856,           0.0077895,            0.020523,            0.006271,            0.006271,            0.006271
                 115,            0.038747,            0.013801,             0.02837,             0.62718,             0.75463,             0.82237,             0.42771,            0.030482,           0.0077265,            0.021192,            0.006238,            0.006238,            0.006238
                 116,            0.039863,            0.013987,            0.025284,             0.78075,             0.67206,             0.77499,             0.36189,            0.030798,           0.0076945,            0.018732,            0.006205,            0.006205,            0.006205
                 117,             0.04115,            0.013667,            0.028182,             0.58279,              0.7441,             0.78461,             0.31353,            0.035498,           0.0076854,            0.021055,            0.006172,            0.006172,            0.006172
                 118,            0.038692,            0.014008,             0.02743,              0.6499,             0.77826,             0.87433,             0.47624,            0.031144,           0.0078107,            0.020163,            0.006139,            0.006139,            0.006139
                 119,            0.038536,            0.014409,            0.027385,             0.84218,              0.5859,             0.78013,             0.37848,            0.033275,           0.0075054,            0.020094,            0.006106,            0.006106,            0.006106
                 120,            0.037555,            0.014033,            0.025232,             0.68469,             0.74995,              0.8171,             0.48722,            0.027952,           0.0074998,            0.019715,            0.006073,            0.006073,            0.006073
                 121,            0.038034,             0.01486,            0.023378,             0.85052,             0.62505,             0.78313,             0.40235,            0.032194,           0.0076323,            0.018222,             0.00604,             0.00604,             0.00604
                 122,            0.039233,            0.013242,            0.024597,             0.71589,             0.73604,             0.81073,             0.42636,            0.029299,           0.0081027,            0.020056,            0.006007,            0.006007,            0.006007
                 123,            0.035508,            0.014385,            0.024565,             0.91123,             0.58512,             0.85409,             0.45702,            0.028298,           0.0073784,            0.019715,            0.005974,            0.005974,            0.005974
                 124,            0.037479,            0.013226,            0.026053,             0.73169,             0.74814,             0.87124,             0.44125,            0.031416,           0.0073246,            0.020275,            0.005941,            0.005941,            0.005941
                 125,            0.037012,            0.014385,            0.021976,             0.66438,             0.71282,             0.85693,             0.45004,            0.028217,            0.007593,            0.020611,            0.005908,            0.005908,            0.005908
                 126,            0.036528,            0.013909,            0.025224,             0.71692,             0.72091,             0.84904,             0.45849,            0.027859,           0.0078723,            0.019845,            0.005875,            0.005875,            0.005875
                 127,            0.037369,            0.012615,            0.022628,             0.78467,             0.68318,             0.81918,              0.4175,            0.028431,           0.0078047,             0.02148,            0.005842,            0.005842,            0.005842
                 128,            0.038409,            0.014792,             0.02781,             0.81864,             0.68292,             0.82409,             0.41511,            0.029413,           0.0076858,            0.019724,            0.005809,            0.005809,            0.005809
                 129,             0.03613,            0.014278,            0.024841,             0.84711,             0.72575,             0.84497,             0.40507,            0.029726,            0.007852,            0.018468,            0.005776,            0.005776,            0.005776
                 130,            0.037771,             0.01342,            0.024227,             0.81224,             0.70336,             0.80108,             0.35868,            0.031084,           0.0080271,            0.019415,            0.005743,            0.005743,            0.005743
                 131,            0.038929,            0.013863,            0.026537,             0.78804,             0.69999,             0.80501,             0.38789,            0.030028,           0.0079484,             0.01918,             0.00571,             0.00571,             0.00571
                 132,            0.038385,            0.013425,            0.022443,             0.80596,             0.66416,             0.83777,             0.42304,            0.027854,           0.0081058,            0.018088,            0.005677,            0.005677,            0.005677
                 133,            0.038021,            0.013882,            0.022493,             0.72857,             0.72305,             0.83657,              0.3723,            0.032884,           0.0083035,            0.018927,            0.005644,            0.005644,            0.005644
                 134,            0.038433,            0.015467,            0.023577,             0.75623,             0.53962,             0.77191,             0.32047,            0.032866,            0.010034,            0.023934,            0.005611,            0.005611,            0.005611
                 135,            0.037465,            0.013218,            0.023949,             0.72078,              0.7824,             0.88328,             0.45528,            0.027941,           0.0084438,            0.019959,            0.005578,            0.005578,            0.005578
                 136,            0.036427,            0.012427,            0.022786,             0.73957,             0.67799,             0.83756,             0.42998,             0.03331,           0.0084657,            0.020242,            0.005545,            0.005545,            0.005545
                 137,            0.039595,              0.0143,            0.023706,               0.823,             0.71093,             0.87958,             0.46075,             0.02775,            0.008139,            0.018891,            0.005512,            0.005512,            0.005512
                 138,            0.036512,            0.014105,            0.021402,             0.76189,               0.765,              0.8689,             0.48362,            0.027918,            0.007553,             0.01926,            0.005479,            0.005479,            0.005479
                 139,            0.035876,            0.013356,             0.02149,             0.83652,             0.70198,             0.84668,             0.43727,            0.029515,           0.0076382,            0.018379,            0.005446,            0.005446,            0.005446
                 140,            0.037496,            0.013779,            0.022344,             0.92012,             0.66835,             0.85259,             0.47695,            0.027564,           0.0074698,            0.017399,            0.005413,            0.005413,            0.005413
                 141,             0.03494,            0.013447,            0.018961,             0.87657,             0.66847,             0.84306,             0.46973,            0.028687,           0.0073852,            0.018541,             0.00538,             0.00538,             0.00538
                 142,            0.038119,            0.013871,            0.023027,             0.81215,             0.73481,              0.8405,             0.41832,            0.031337,           0.0075947,            0.017138,            0.005347,            0.005347,            0.005347
                 143,            0.037042,            0.012894,            0.019515,              0.8363,             0.73099,             0.86201,             0.45264,            0.027616,           0.0076612,            0.016277,            0.005314,            0.005314,            0.005314
                 144,            0.036952,            0.012881,            0.020632,             0.81553,             0.70616,             0.83069,             0.46448,            0.028019,           0.0075198,            0.016668,            0.005281,            0.005281,            0.005281
                 145,            0.035199,            0.014096,            0.022445,             0.80002,             0.71697,             0.84798,             0.48335,            0.027561,           0.0076379,            0.016504,            0.005248,            0.005248,            0.005248
                 146,            0.033845,            0.013406,            0.020242,             0.86702,             0.69763,             0.85872,             0.46396,            0.029266,           0.0079607,            0.017871,            0.005215,            0.005215,            0.005215
                 147,            0.035787,            0.012503,            0.019521,             0.80365,             0.71955,             0.85911,             0.47297,            0.027469,           0.0081024,            0.016483,            0.005182,            0.005182,            0.005182
                 148,            0.034855,             0.01387,            0.018865,             0.77566,             0.63889,             0.81245,             0.44429,            0.030139,           0.0076052,            0.016331,            0.005149,            0.005149,            0.005149
